    date    |     shares      |     trades      |     dollars      
------------+-----------------+-----------------+------------------
 2017-02-01 |   1,161,001,502 |       5,217,859 | $ 44,660,060,305
 2017-02-02 |   1,128,144,760 |       4,586,343 | $ 43,276,102,903
 2017-02-03 |   1,084,735,476 |       4,396,485 | $ 42,801,562,275
 2017-02-06 |     954,533,086 |       3,817,270 | $ 37,300,908,120
 2017-02-07 |   1,037,660,897 |       4,220,252 | $ 39,754,062,721
 2017-02-08 |   1,100,076,176 |       4,410,966 | $ 40,491,648,732
 2017-02-09 |   1,081,638,761 |       4,462,009 | $ 40,169,585,511
 2017-02-10 |   1,021,379,481 |       4,028,745 | $ 38,347,515,768
 2017-02-13 |   1,020,482,007 |       3,963,509 | $ 38,745,317,913
 2017-02-14 |   1,041,009,698 |       4,299,974 | $ 40,737,106,101
 2017-02-15 |   1,120,119,333 |       4,424,251 | $ 43,802,653,477
 2017-02-16 |   1,091,339,672 |       4,461,548 | $ 41,956,691,405
 2017-02-17 |   1,160,693,221 |       4,132,233 | $ 48,862,504,551
 2017-02-21 |   1,103,777,644 |       4,323,282 | $ 44,416,927,777
 2017-02-22 |   1,064,236,648 |       4,169,982 | $ 41,137,731,714
 2017-02-23 |   1,192,772,644 |       4,839,887 | $ 44,254,446,593
 2017-02-24 |   1,187,320,171 |       4,656,770 | $ 45,229,398,830
 2017-02-27 |   1,132,693,382 |       4,243,911 | $ 43,613,734,358
 2017-02-28 |   1,455,597,403 |       4,789,769 | $ 57,874,495,227
(19 rows)

